# Named widgets from Kenshi's shipped MyGUI layouts, one per line.
# Captured verbatim from data/gui/layout/*.layout in the pinned
# install; the game's own enumeration of its GUI. Not hand-authored.
#
# SCOPE: base Kenshi only. Mods add windows that exist in no layout
# file - RE_Kenshi contributes DebugWindow, GameSpeedTutorialWindow
# and BugReportWindow, observed live and absent here. Widgets built
# in code rather than loaded from a layout are also outside it; all
# 45 such controls observed so far were anonymous rendered text and
# none were actionable.
layout	widget	type
Kenshi_InventoryTraderWindow.layout	scrollview_backpack_content	ScrollView
Kenshi_ItemDropLabel.layout	Root	Widget
Kenshi_ItemDropLabel.layout	ItemNameText	TextBox
Kenshi_ItemListItem.layout	Root	Widget
Kenshi_ItemListItem.layout	ItemName	TextBox
Kenshi_ItemListItem.layout	RemoveButton	Button
Kenshi_ItemListItem.layout	ItemValue	TextBox
Kenshi_ItemListItem.layout	Progress	Widget
Kenshi_LevelEditor.layout	Root	Widget
Kenshi_LevelEditor.layout	towns	Button
Kenshi_LevelEditor.layout	populate	Button
Kenshi_LevelEditor.layout	buildings	Button
Kenshi_LevelEditor.layout	items	Button
Kenshi_LevelEditor.layout	mod	ComboBox
Kenshi_LevelEditor.layout	save	Button
Kenshi_LevelEditor.layout	exit	Button
Kenshi_LevelEditor.layout	navmesh	Button
Kenshi_LevelEditor.layout	features	Button
Kenshi_LevelEditor.layout	fogfeatures	Button
Kenshi_LevelEditor.layout	snaps	Button
Kenshi_LimbReplacementWindow.layout	Root	Window
Kenshi_LimbReplacementWindow.layout	left_arm_replace	Widget
Kenshi_LimbReplacementWindow.layout	right_leg_replace	Widget
Kenshi_LimbReplacementWindow.layout	left_leg_replace	Widget
Kenshi_LimbReplacementWindow.layout	lbLeftArm	TextBox
Kenshi_LimbReplacementWindow.layout	lbLeftLeg	TextBox
Kenshi_LimbReplacementWindow.layout	right_arm_replace	Widget
Kenshi_LoadGamePanel.layout	Root	Widget
Kenshi_LoadGamePanel.layout	lbTitle	TextBox
Kenshi_LoadGamePanel.layout	InfoPanel	Widget
Kenshi_LoadGamePanel.layout	LoadButton	Button
Kenshi_LoadGamePanel.layout	CancelButton	Button
Kenshi_LoadGamePanel.layout	GamesList	MultiListBox
Kenshi_LoadGamePanel.layout	lbResetSquadPosition	TextBox
Kenshi_LoadGamePanel.layout	ResetTickBox	Button
Kenshi_LoadingScreen.layout	Root	Widget
Kenshi_LoadingScreen.layout	BackgroundImage	ImageBox
Kenshi_LoadingScreen.layout	LoadingPanel	Widget
Kenshi_LoadingScreen.layout	MessageText	EditBox
Kenshi_LoadingScreen.layout	LoadingText	TextBox
Kenshi_MainMenu.layout	Root	Widget
Kenshi_MainMenu.layout	ContinueButton	Button
Kenshi_MainMenu.layout	NewGameButton	Button
